dia_de_semana,hora,linea,estacion,trx_totales
False,6,B,ECHEVERRIA,105.0
False,6,B,FEDERICO LACROZE,1116.0
False,6,B,FLORIDA,111.0
False,6,B,LEANDRO N. ALEM,761.0
False,6,B,LOS INCAS,221.0
False,6,B,MALABIA,335.0
False,6,B,MEDRANO,538.0
False,6,B,PASTEUR,154.0
False,6,B,PUEYRREDON,248.0
False,6,B,ROSAS,829.0
False,6,B,TRONADOR,142.0
False,6,B,URUGUAY,137.0
False,6,C,AVENIDA DE MAYO,205.0
False,6,C,CONSTITUCION,6222.0
False,6,C,DIAGONAL NORTE,71.0
False,6,C,GENERAL SAN MARTIN,99.0
False,6,C,INDEPENDENCIA,554.0
False,6,C,LAVALLE,199.0
False,6,C,MARIANO MORENO,134.0
False,6,C,RETIRO,1955.0
False,6,C,SAN JUAN,145.0
False,6,D,9 DE JULIO,78.0
False,6,D,AGÃÂÃÂ¼ERO,215.0
False,6,D,BULNES,270.0
False,6,D,CALLAO,171.0
False,6,D,CATEDRAL,254.0
False,6,D,CONGRESO DE TUCUMAN,621.0
False,6,D,FACULTAD DE MEDICINA,250.0
False,6,D,JOSE HERNANDEZ,171.0
False,6,D,JURAMENTO,227.0
False,6,D,MINISTRO CARRANZA,263.0
False,6,D,OLLEROS,193.0
False,6,D,PALERMO,737.0
False,6,D,PLAZA ITALIA,337.0
False,6,D,PUEYRREDON.D,142.0
False,6,D,SCALABRINI ORTIZ,257.0
False,6,D,TRIBUNALES,88.0
False,6,E,AVENIDA LA PLATA,99.0
False,6,E,BOEDO,113.0
False,6,E,BOLIVAR,121.0
False,6,E,CATALINAS,54.0
False,6,E,CORREO CENTRAL,133.0
False,6,E,EMILIO MITRE,128.0
False,6,E,ENTRE RIOS,142.0
False,6,E,GENERAL BELGRANO,80.0
False,6,E,INDEPENDENCIA.H,195.0
False,6,E,JOSE MARIA MORENO,103.0
False,6,E,JUJUY,103.0
False,6,E,MEDALLA MILAGROSA,41.0
False,6,E,PICHINCHA,95.0
False,6,E,PZA. DE LOS VIRREYES,540.0
False,6,E,RETIRO E,140.0
False,6,E,SAN JOSE,110.0
False,6,E,URQUIZA,87.0
False,6,E,VARELA,111.0
False,6,H,CASEROS,216.0
False,6,H,CORDOBA,136.0
False,6,H,CORRIENTES,95.0
False,6,H,FACULTAD DE DERECHO,53.0
False,6,H,HOSPITALES,1018.0
False,6,H,HUMBERTO I,172.0
False,6,H,INCLAN,191.0
False,6,H,LAS HERAS,239.0
False,6,H,ONCE,783.0
False,6,H,PATRICIOS,623.0
False,6,H,SANTA FE,190.0
False,6,H,VENEZUELA,244.0
False,7,A,ACOYTE,722.0
False,7,A,ALBERTI,261.0
False,7,A,CARABOBO,774.0
False,7,A,CASTRO BARROS,503.0
False,7,A,CONGRESO,733.0
False,7,A,FLORES,889.0
False,7,A,LIMA,449.0
False,7,A,LORIA,547.0
False,7,A,PASCO,164.0
False,7,A,PERU,307.0
False,7,A,PIEDRAS,229.0
False,7,A,PLAZA DE MAYO,840.0
False,7,A,PLAZA MISERERE,1178.0
False,7,A,PRIMERA JUNTA,918.0
False,7,A,PUAN,340.0
False,7,A,RIO DE JANEIRO,616.0
False,7,A,SAENZ PEÃÂÃÂ±A ,420.0
False,7,A,SAN PEDRITO,2150.0
False,7,B,ANGEL GALLARDO,784.0
False,7,B,CALLAO.B,588.0
False,7,B,CARLOS GARDEL,681.0
False,7,B,CARLOS PELLEGRINI,1268.0
False,7,B,DORREGO,550.0
False,7,B,ECHEVERRIA,376.0
False,7,B,FEDERICO LACROZE,3161.0
False,7,B,FLORIDA,222.0
False,7,B,LEANDRO N. ALEM,1430.0
False,7,B,LOS INCAS,672.0
False,7,B,MALABIA,972.0
False,7,B,MEDRANO,1014.0
False,7,B,PASTEUR,348.0
False,7,B,PUEYRREDON,651.0
False,7,B,ROSAS,2395.0
False,7,B,TRONADOR,327.0
False,7,B,URUGUAY,321.0
False,7,C,AVENIDA DE MAYO,324.0
False,7,C,CONSTITUCION,13243.0
False,7,C,DIAGONAL NORTE,105.0
False,7,C,GENERAL SAN MARTIN,194.0
False,7,C,INDEPENDENCIA,430.0
False,7,C,LAVALLE,302.0
False,7,C,MARIANO MORENO,180.0
False,7,C,RETIRO,4318.0
False,7,C,SAN JUAN,316.0
False,7,D,9 DE JULIO,261.0
False,7,D,AGÃÂÃÂ¼ERO,597.0
False,7,D,BULNES,723.0
False,7,D,CALLAO,429.0
False,7,D,CATEDRAL,526.0
False,7,D,CONGRESO DE TUCUMAN,2134.0
False,7,D,FACULTAD DE MEDICINA,451.0
False,7,D,JOSE HERNANDEZ,590.0
False,7,D,JURAMENTO,807.0
False,7,D,MINISTRO CARRANZA,664.0
False,7,D,OLLEROS,513.0
False,7,D,PALERMO,1580.0
False,7,D,PLAZA ITALIA,602.0
False,7,D,PUEYRREDON.D,347.0
